avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,deathRate
1962.667684,22,453.5494221,55705,8384,10.9,0,"(54545.6, 61494.5]",44.1,42.9,44.6,"Coffey County, Kansas",2.33,58.5,16.1,31.8,,5.9,36.8,15.6,62.1,5.1,73,56.7,50.2,32.1,14.6,96.16930716,0.780326318,0.638448806,0.106408134,55.11347716,7.435158501,176.6
468,193,434,43113,97610,20.9,133.1830755,"(42724.4, 45201]",37.6,36.4,39,"Madison County, Tennessee",2.56,45.8,10.2,30,53.7,6.1,32.9,17,55.2,8.4,62.7,,42.8,37.2,22.6,59.87126212,37.0549173,1.186547706,0.407398354,46.36348801,5.831783426,176.3
1962.667684,41,453.5494221,41909,13875,15.8,0,"(40362.7, 42724.4]",43.3,41.6,44.7,"Wadena County, Minnesota",2.35,52.2,22.3,27.7,46.1,3.9,39.3,8.8,54.2,5.2,62.5,42.6,34.6,47.7,25.1,96.39508685,0.952104077,0.581437604,0.181699251,47.68200247,5.574778931,187.9
160,56,425.4,34429,49800,29.9,100.4016064,"(34218.1, 37413.8]",25,24,26,"Oktibbeha County, Mississippi",2.51,33,3.9,10.3,,7.5,19.3,21.7,47.3,13.3,70,59.2,51.2,26.3,14.3,58.32653727,37.11670201,3.001141739,0.491355407,36.08648401,3.389715373,147.8
15,7,437.3,39870,2953,20.7,0,"(37413.8, 40362.7]",34.9,34.6,35.4,"Cochran County, Texas",2.79,52,41.7,26.6,,0,29.7,7.4,52.8,8.5,43.6,31.8,25.4,35.3,21.6,85.73337788,3.942532576,0.033411293,6.014032743,52.91262136,7.357357357,187.5
1885,713,470.9,48380,354098,15.9,553.5190823,"(48021.6, 51046.4]",39.3,37.8,40.9,"Hamilton County, Tennessee",0.0248,48,13.1,27,51.6,8.4,27.3,18.2,57.7,8,68.3,53.9,46.5,32.9,17.5,75.1445618,19.8327593,1.981782196,0.991034726,47.00812066,5.342350159,172.9
507,194,518.7,52349,92066,13.2,65.17063846,"(51046.4, 54545.6]",37.3,35.9,38.5,"Campbell County, Kentucky",2.49,47.2,9.4,28.7,49.2,12.7,31,18.2,62.4,6.8,72.4,56.4,50.1,28.3,14.9,93.6386991,3.211806505,0.812243782,0.637332605,46.76269132,4.943288381,198.6
17,6,482.9,40436,2028,11.8,0,"(40362.7, 42724.4]",51.4,53.1,50.9,"Garfield County, Nebraska",2.1,57,4.1,21.1,46.3,28.5,39.5,11.8,62.7,3.5,70.2,46.9,26.3,41.8,16.8,97.98241076,0.620796689,0,0.310398345,49.16943522,3.095975232,141
64,35,317.9,31805,13373,23,0,"[22640, 34218.1]",47.3,46.2,47.8,"Douglas County, Missouri",2.54,58.6,20.6,45.8,,2.3,42.4,5.8,44.6,9,53.1,37.3,31.6,43.7,25.3,98.37969814,0.059189109,0.022195916,0.651080201,57.15368581,6.128904705,166.5
214,93,473.4,44596,39829,18.8,25.10733385,"(42724.4, 45201]",37.4,35.5,39.7,"Pasquotank County, North Carolina",2.61,47.1,9.3,24.7,,6.5,29.9,12.3,53.1,10.1,62.9,45.7,33.4,36.1,19.5,58.6211205,36.9308811,1.431855665,0.562246989,50.71982281,5.029990529,203.9
219,89,522.6,49012,35757,16,0,"(48021.6, 51046.4]",41.7,39.6,43,"Clark County, Kentucky",2.49,52.6,13.7,38.3,,5.5,35.2,13.8,55.8,7.9,64.4,50.2,44.8,37.2,20.9,92.94107749,5.250021034,0.572117677,0.218750876,50.3774783,4.293271005,210.6
32,11,533.1,51929,3796,12.2,0,"(51046.4, 54545.6]",46.8,45.5,47.8,"Adams County, Iowa",2.18,64.4,23.3,33.8,,0,39.1,11.1,63,3.2,75.2,53.8,43.7,38.3,15.1,97.327852,0.69373073,0.282631038,0,59.13853318,8.874172185,171.3
3882,1714,448.5,42700,939020,21.3,692.2110285,"(40362.7, 42724.4]",34.1,33.1,35.2,"Marion County, Indiana",2.5,39.4,20.4,27.7,,11.6,28.5,18.5,60.8,10.1,59.1,,43.7,34.5,22.9,63.09661192,27.05619457,2.421802048,4.334716922,36.27949323,5.992308937,201
80,35,372,39625,14058,17.4,0,"(37413.8, 40362.7]",45,42.2,48,"Las Animas County, Colorado",2.36,52.2,12.6,31.2,,0.2,28.3,10.5,49.3,9.2,56.6,,33.4,43,24.7,82.67255051,1.834103289,0.68261739,8.2534648,50.56642636,3.897032535,162.2
1859,771,427.4,61747,459495,9.9,272.0377806,"(61494.5, 125635]",37.4,36.6,38.3,"Clark County, Washington",2.71,52.7,17.4,33.2,,6.4,25.3,17.8,58.5,8.6,69.8,,49,32.2,17.3,84.72754024,1.929332787,4.225364787,3.113118833,53.29996737,5.742215991,178.2
18,8,385.4,39679,2388,16.1,0,"(37413.8, 40362.7]",53.6,53.7,53.6,"Grant County, North Dakota",2.05,62.6,26.1,41.3,20.7,12,38.2,13.7,59.8,3.4,77.1,52.9,29.7,35.5,11.6,97.45977985,0.33869602,0,0.423370025,55.1056338,7.277628032,147.3
35,12,493,49689,4899,12.1,0,"(48021.6, 51046.4]",46.9,45.7,48.2,"Calhoun County, Illinois",2.37,65.4,17.6,19,,16.8,43.5,10.2,54.5,5.4,70.3,48.8,43.7,44.8,22.7,98.09961992,0.120024005,0.020004001,0,64.42074649,6.910994764,152.3
106,39,471.5,50295,18046,15,3657.320182,"(48021.6, 51046.4]",43.2,44,42.3,"Morgan County, Georgia",2.76,53.8,10,45.9,39.9,4.2,34.8,13.9,53.8,6.9,66.2,48.1,41.1,33.8,17,73.8603352,23.17877095,0.441340782,0.56424581,56.46618884,3.7027833,172.3
17,10,456.9,41800,2216,18,0,"(40362.7, 42724.4]",44.6,42.9,46.9,"Cimarron County, Oklahoma",2.28,60.9,28.6,44.4,,3,36.3,15.3,60.8,2.2,59,42,29.9,38.4,20.5,84.45108928,0.213583938,0.213583938,12.21700128,52.40904621,2.195121951,258.7
102,38,421.7,37131,17689,19.8,0,"(34218.1, 37413.8]",43.7,41.7,46.3,"Avery County, North Carolina",2.22,53.3,14.4,26.3,,4.3,30.5,11.1,45,6.9,58.3,39.8,30.9,37.8,18.1,89.3303193,4.170669681,0.486012998,2.198361119,56.4916924,6.046511628,152.8
620,248,471.7,40429,93246,15.9,0,"(40362.7, 42724.4]",525.6,41.6,46.2,"Northumberland County, Pennsylvania",2.27,50.4,22,40.2,,7.9,50.3,9.4,52.7,7.2,71.8,,46.5,37,16,95.23966555,2.855136906,0.346786375,0.371252899,47.97968254,5.713833492,177.5
227,80,501,36810,35827,20.1,0,"(34218.1, 37413.8]",40.6,38.7,42.7,"Monroe County, Mississippi",2.57,49.8,21.7,29.1,46.5,2.8,33.8,9.9,49.6,10.9,58.5,44.9,39.7,39.3,22.9,68.09951624,30.46579129,0.09398756,0.05252246,49.69862227,5.236239649,174.3
22,12,386.3,37263,3499,19.4,0,"(34218.1, 37413.8]",42.9,39.3,46.7,"Donley County, Texas",2.53,46.3,7.2,26.6,,0.2,33.5,9.6,47.6,3.9,58.1,43.2,36.7,39.2,21.7,92.33556299,5.657748049,0.418060201,0.08361204,48.74141876,0.284090909,202.7
145,52,459.6,75539,28031,7.1,0,"(61494.5, 125635]",43.7,42.4,44.9,"Powhatan County, Virginia",2.63,57.5,26.2,46.2,,2.7,28.6,19.3,56.6,4.9,83.7,65.2,57.4,22.7,7.2,85.04271989,12.25936824,0.542418549,0.251710568,65.72456321,5.615292712,175.1
1019,423,472.8,38840,156791,18.5,344.4075234,"(37413.8, 40362.7]",44.3,43.2,45.6,"Sullivan County, Tennessee",2.32,53.9,13,38,,6.5,34.8,13.6,51.3,8.2,64.3,46.3,41.1,40.2,20.3,94.64440645,1.933627641,0.58372461,0.79616209,50.28831243,4.794040316,187.2
134,56,493.4,32101,16912,21.6,0,"[22640, 34218.1]",47.2,46.5,47.9,"Sharp County, Arkansas",2.37,53.9,25.6,24.6,,1.3,45.9,5.9,41.3,8.8,47.4,29.1,24.9,54,31.5,95.69041337,0.404573439,0.603928467,0.134857813,49.83117614,6.62707096,190.4
208,77,449.3,49717,27554,11,1778.326196,"(48021.6, 51046.4]",51.7,50.2,53.2,"Door County, Wisconsin",2.11,62.6,20.8,31,,11.1,32.9,19.7,55.6,6.2,75.8,,42.4,39.5,15.5,96.61750388,0.540910894,0.479607659,0.393061916,56.50832819,4.481380181,158.7
98,54,433.2,33826,15109,19.9,0,"[22640, 34218.1]",43.8,42.8,45.5,"Clay County, Arkansas",2.31,52.3,18.4,48.9,,1.8,43.8,7.5,50.2,9.5,53.8,36.1,29.6,46.8,25.5,96.37012987,0.363636364,0.090909091,1.285714286,48.75207987,8.81166615,228.7
493,182,476.6,39548,75713,17.5,673.5963441,"(37413.8, 40362.7]",44.3,42.6,45.8,"Oconee County, South Carolina",2.43,53.8,15.8,35.5,,5.6,31.8,13.7,47,10.4,63.5,,37.9,39.9,18.7,88.21465263,7.498432267,0.645772459,1.523702785,52.09451499,6.598098195,172.9
249,88,651.3,32749,32477,25.8,0,"[22640, 34218.1]",39.5,37.3,41.1,"Petersburg city, Virginia",2.44,29.5,14.3,43.7,,12,34,9.2,49.3,13,53.1,,32.3,43.3,26.3,18.14898982,77.07250257,1.319926532,1.273231018,27.0092947,4.372408594,224.4
120,62,414.9,37495,24114,24.1,0,"(37413.8, 40362.7]",36,33.7,37.6,"Columbia County, Arkansas",2.37,47.2,10.9,19.9,,7.3,38.2,13.3,53.3,10.1,60.5,46.5,39.9,38.8,22.6,60.04850578,35.59419575,0.702922679,1.623710281,47.35854955,6.776379477,210
34,16,451.6,34684,4858,18.6,0,"(34218.1, 37413.8]",46.4,44.3,48.6,"Putnam County, Missouri",2.2,55.7,3.6,41.3,,4.4,41.7,12,53.2,2.8,63.6,45.1,37.3,38.7,17,97.85495403,0.408580184,0.776302349,0.040858018,49.63570128,14.97890295,205
304,132,446.1,31615,54150,25.9,0,"[22640, 34218.1]",39.9,37.6,41.8,"Edgecombe County, North Carolina",2.57,39.4,26.3,32.6,,5,35.7,7.1,49,15.4,50.6,35.1,31.4,45.9,27.6,38.84044863,56.47250362,0.085021708,2.243125904,38.55702464,5.053375317,192.1
796,323,458.7,52047,162275,14.2,154.059467,"(51046.4, 54545.6]",37.6,37,38,"Portage County, Ohio",2.54,46.6,6.9,24.3,,10.1,37.8,16.2,60.7,8.7,74.5,61.4,56.1,28.9,15.5,91.43344225,3.903716561,1.754819422,0.418167106,49.96969945,3.908475144,186.3
891,350,442.7,50192,203474,13.9,575.0120409,"(48021.6, 51046.4]",35.2,34.1,36,"Elkhart County, Indiana",2.8,52.2,27.3,36.1,33.3,3.3,36.9,12.3,60.5,7.4,59.8,48.6,44,30.8,19.1,86.21969754,5.785185739,1.073822159,4.036176097,53.14527463,7.223841918,170.1
1404,502,474.4,76856,307343,6.9,0,"(61494.5, 125635]",39.3,38.2,40.2,"McHenry County, Illinois",2.79,58.2,14.4,33.2,,10.5,26.5,21.7,65.8,8,78.8,,60.7,22.8,12.5,91.46334718,1.345991795,2.633745124,2.641228279,61.79868665,4.286141792,181.4
16,8,411.7,66505,4264,8.9,0,"(61494.5, 125635]",34.4,35.2,34,"Hemphill County, Texas",2.77,68,24.3,20.1,,18.5,25.8,19.9,,3.7,64.3,,40.8,23,9.4,87.02308627,1.044957473,0.315917375,8.675577157,65.89358799,5.503512881,189.7
13294,4895,434.9,66034,3299521,14.7,139.1111013,"(61494.5, 125635]",35.1,33.7,36.5,"San Diego County, California",2.86,47.2,10.9,32.2,,9.6,19,22.1,56.7,8.7,66.6,55.5,44.6,28.4,16.8,70.85169042,5.065812498,11.45023294,6.707308749,49.61783364,4.953958986,157.1
245,95,535.2,46870,33642,14.4,0,"(45201, 48021.6]",42,40.4,44.3,"Christian County, Illinois",2.31,51.1,17.2,43,,4.7,44.1,9.6,54.6,5.4,70.2,52.6,46,38.5,19.5,96.37426901,1.684210526,0.526315789,0.18128655,47.89838008,4.048467569,196
227,87,472,49949,53951,14.6,18.53533762,"(48021.6, 51046.4]",29.7,28.6,31.1,"Johnson County, Missouri",2.49,49.6,4.5,20.8,,8.2,30.7,15.9,54.9,8,75.4,,40.8,25.4,12.9,89.33247161,4.407718586,1.434770566,0.441325824,53.12202694,6.303106282,183.4
146,53,467.9,62745,24800,7.6,0,"(61494.5, 125635]",41.8,40.3,43,"Plymouth County, Iowa",2.45,60,17.7,29,,7.5,35.6,16,67,3.4,78.8,61.9,51.2,30.3,14.1,96.80923832,0.506981049,0.342011025,0.95360721,58.16908454,5.573897844,156
663,267,451.1,43212,126302,16.7,47.50518598,"(42724.4, 45201]",39.8,39.5,40.1,"Washington County, Tennessee",2.29,50.8,7.4,29.7,,12.1,30.7,18,55.5,6.2,68,52.8,46.2,33.9,17,92.13913515,3.945194986,1.363741551,0.430907219,47.87605912,4.081698817,176.7
103,42,506.7,40339,18201,21.3,0,"(37413.8, 40362.7]",38.6,39.1,37.9,"Lamar County, Georgia",2.62,45.3,19.8,27.4,,0.8,37.9,11.4,46.5,15.6,58.4,43.4,34.4,36.9,20.6,65.46317765,30.55095506,0.645909241,0.104891244,49.75897994,4.34410443,204.1
124,61,436.7,45574,29744,15.9,0,"(45201, 48021.6]",30.7,29.9,31.4,"Custer County, Oklahoma",2.63,50,8.2,22.2,,9.3,35.1,18.3,61.9,3.7,67.4,56.5,47.9,25.4,13.4,82.73862931,3.126509766,1.41486645,2.091241632,50.28946353,5.712260808,205.2
10,4,469,54458,2069,15.6,0,"(51046.4, 54545.6]",32.4,23.7,40.2,"Oldham County, Texas",2.52,53.7,28.9,42.6,28.4,0,19.6,20.2,50.1,7.4,70.3,52.2,45.5,33.9,15.8,85.36938677,6.953162723,0.531144375,0.482858522,64.53125,8.831908832,181.3
2265,816,472.4,55936,415271,14.3,156.5242938,"(54545.6, 61494.5]",39.7,38.4,40.8,"Berks County, Pennsylvania",2.61,49.6,13.9,35.5,43.1,7.5,38.4,15.1,59.9,9,71.2,56.6,50.9,32.6,17.4,83.68147066,4.979164905,1.408331622,5.046561907,51.44737529,5.334555643,162.4
1962.667684,79,453.5494221,43706,45672,18.5,1050.972149,"(42724.4, 45201]",33.3,31.8,34.7,"Beltrami County, Minnesota",2.59,44.2,12.8,24.7,,6.9,26.1,17.4,58.5,10.6,58.6,45.4,39.6,40.5,26.1,74.08988863,0.818770084,0.87159396,0.261918387,44.60242547,6.561704535,162.6
81,36,388.5,36642,18454,24.9,0,"(34218.1, 37413.8]",38.6,37.6,39.8,"Appling County, Georgia",2.63,50.1,26.5,48,24.4,1.2,42.8,8.2,49.5,7.9,49.6,38.1,33.3,39.7,26.4,76.67372536,18.89015583,0.83618396,1.992724114,50.80739871,6.281957633,174
257,106,459.6,41940,49565,22.4,0,"(40362.7, 42724.4]",36.8,34,39.4,"Dale County, Alabama",2.56,50.6,15.8,37.7,,8.1,32.2,10.8,47.7,10.9,65.6,,30.7,36.7,18,74.66409979,19.6486584,1.179160149,1.189187021,48.51193606,4.908292431,189.1
116,40,498.1,45049,25876,14.4,0,"(42724.4, 45201]",30.8,29.9,31.5,"Elmore County, Idaho",2.6,59.8,10.5,44.9,,1.4,27.9,11.2,,8.4,68.7,44.9,22.1,33.2,15.2,84.85195798,2.418338109,3.163323782,4.909264565,58.5998978,8.913784705,180
1962.667684,13,453.5494221,60279,7733,10.9,0,"(54545.6, 61494.5]",32.8,32.4,33.2,"Grant County, Kansas",2.86,62.5,37.8,33,,0,28.9,14,64.7,7.3,62.3,53.1,40.6,25.6,17.9,75.42221085,0.012794268,0,22.1468782,64.2777983,5.375139978,197.8
134,65,463.9,38998,22477,22,0,"(37413.8, 40362.7]",41.7,40.3,43.4,"Union Parish, Louisiana",2.6,50.1,25.2,42.7,,4,44.9,8.2,45,7.7,56.1,40.6,36.4,42.4,24.5,71.29543336,25.89535348,0.18639329,1.189366707,50.46377833,4.316239316,220.2
97,41,375.5,39551,16272,16.3,0,"(37413.8, 40362.7]",48.9,47.5,50.4,"Idaho County, Idaho",2.38,58.4,25.8,53.6,,1.8,37.3,14.9,48.5,6.4,63.1,41.3,31.4,42.1,17.5,93.86341344,0.147130947,0.275870525,0.232957332,57.72444174,5.367647059,162
282,121,460.5,54868,56998,13.2,0,"(54545.6, 61494.5]",39.1,37.2,40.7,"Pickaway County, Ohio",2.68,51.3,20.5,30.9,,7.1,42.9,11.2,54.7,6.9,72.5,,53.2,31.9,17.1,93.89365655,3.250464478,0.293727329,0.102627621,57.2713258,5.002432301,197.4
110,48,554.1,22640,18340,44,0,"[22640, 34218.1]",33.5,31,36.6,"Holmes County, Mississippi",2.82,25.1,13.8,40,,2.9,36.9,8.5,37.5,19.2,34.9,27.6,23.8,52.6,38.7,16.54059237,82.55913062,0.383549968,0,26.46417445,5.501407841,239.7
465,195,476.8,43385,89844,20.5,11.13040381,"(42724.4, 45201]",38,36.7,39.3,"Hunt County, Texas",2.77,50.4,15.3,34.6,,9.3,34.6,11,51.6,11.4,58.9,46,40.9,33.1,19,78.69895062,8.447281152,1.178848862,8.875437242,52.6920083,4.433836917,198.5
10,5,403,53420,1845,10.7,0,"(51046.4, 54545.6]",41,41.2,40.8,"Golden Valley County, North Dakota",2.19,55.8,12.5,33.1,,43.4,24,17.6,67.7,1,75.2,57.7,40.3,27.3,7.6,97.47530187,0,0,0.054884742,49.06600249,6.534090909,205.2
360,153,422.7,47705,78572,17,1374.535458,"(45201, 48021.6]",36,35.2,37.3,"Cape Girardeau County, Missouri",2.49,49.2,9,20.9,,8.4,32,18.1,60.3,6.3,74.2,,51.9,28.8,13.8,88.31275932,7.646316006,1.313042806,0.454861737,50.43463668,4.895140929,170.3
336,137,420.3,58921,76559,9.8,0,"(54545.6, 61494.5]",38.4,37.9,39,"Wagoner County, Oklahoma",2.74,57.5,20.6,39.3,,5.9,35.3,16.2,59.2,6,67,53,47.1,31.3,16.7,76.02764256,3.556127389,1.258770941,1.09827433,58.88459857,4.655824075,177.5
51,20,341.5,36128,11396,23.9,0,"(34218.1, 37413.8]",41.3,39.9,41.6,"Pulaski County, Georgia",0.0255,41.2,21.9,41.6,,2.5,43.6,6.2,40.8,7.4,54.2,40.1,35.3,41.5,25.7,62.88179465,33.57204487,0.146678171,1.078515962,47.32708386,3.860242322,127.1
147,60,538.4,52377,27924,12.6,0,"(51046.4, 54545.6]",36.7,36.9,36.5,"Meade County, Kentucky",2.73,57.1,20.1,47.6,,3.2,39.8,8.4,,11.5,67.9,48.3,36,35.6,17.3,92.13347996,3.883428414,0.814488968,0.350539556,59.26801589,6.956521739,225.1
1962.667684,13,453.5494221,52744,5975,10.4,0,"(51046.4, 54545.6]",42.2,39.5,45.4,"Ottawa County, Kansas",2.39,63.8,17.1,36.5,,7.3,32.9,15.2,63.2,5.3,77.8,60.6,50.8,27.9,11.3,96.80886243,0.297619048,0,0.413359788,58.52386683,1.470588235,151.2
121,54,482,34010,25229,28.2,0,"[22640, 34218.1]",36.2,35.3,38.5,"Tattnall County, Georgia",2.46,43.4,46.4,27.2,25.8,0.6,38,6.9,35.5,7.9,57.2,42,35.2,37.2,20.8,61.03865307,28.98980318,0.343846336,6.61607778,50.55837563,8.461219411,216.4
84,39,417.3,40455,14903,16.1,0,"(40362.7, 42724.4]",43,41.7,44.3,"Missaukee County, Michigan",2.52,56.8,14.1,49.1,,2.4,42.8,8.8,51.2,11,61.4,42.9,37.6,43.5,23.7,96.96423806,0.527088337,0.447024286,0.246864158,55.69382884,4.809286899,190.2
176,68,492.9,41538,29809,17.5,0,"(40362.7, 42724.4]",41,38.8,42.8,"Boyle County, Kentucky",2.42,48.3,10.8,32.1,,5.1,35,11.8,50.9,7.1,65.3,49.8,43,38.4,21.7,88.98530012,6.921192323,0.809854362,0.330066694,50.06790403,4.910307084,179.1
1962.667684,13,453.5494221,41303,3704,13.5,0,"(40362.7, 42724.4]",50.7,50.3,50.9,"Smith County, Kansas",2.21,60.7,10,37.2,,4.8,35.3,13,59.4,3.2,76,49.8,31.2,39.1,15.4,97.48663102,0.427807487,0.160427807,0.053475936,56.26874625,8.463949843,157.6
595,243,332.2,37935,269721,32.3,44.49041788,"(37413.8, 40362.7]",28.3,26.8,29.6,"Webb County, Texas",3.73,46.6,20.8,32.4,,4.3,24.4,11.9,54.3,6,36,30.5,26.4,36.3,28.6,94.19527371,0.393920631,0.587652089,3.873869425,52.84922777,6.921416298,139.1
378,143,478.7,43104,60636,18.9,362.8207665,"(42724.4, 45201]",41.6,41,42.2,"Otsego County, New York",2.36,46.1,7.8,24.2,,5.7,34.5,14.2,54.3,7.1,71.5,54.3,47.9,36.3,18.6,94.03084741,1.918598023,1.247577322,0.786657763,48.46420714,4.59877366,173.8
114,36,397.6,42838,37956,24,0,"(42724.4, 45201]",26.6,26.1,27,"Albany County, Wyoming",2.26,39.8,1.4,14.7,,9.9,17,27.7,64.5,4.7,79.8,69.4,58,19,9.1,89.4875549,1.280447225,3.069346466,2.611473446,39.24786107,4.074920055,128.4
29,11,407.4,63184,6571,10.9,0,"(61494.5, 125635]",36.4,35.9,37.1,"Rio Blanco County, Colorado",2.48,58.5,15.8,28.9,,6.7,33.7,14.3,65.4,4.2,72.3,62.1,55.1,26,15.9,94.17461263,0.461859356,0,0.491656734,60.15310234,10.65292096,150.7
264,112,500.2,46484,43839,15,0,"(45201, 48021.6]",40.8,40.3,41.3,"Brown County, Ohio",2.62,54.1,7.6,45.3,,3.1,48.1,8,53.3,9.9,63.2,49.4,45.1,37.4,21.5,97.2359708,0.98537754,0.185323299,0.19436346,54.66050864,8.672957238,213.3
11,4,502.1,46051,1381,15,0,"(45201, 48021.6]",52,49.8,53.4,"Rock County, Nebraska",1.94,59.4,6,23.3,69.8,0.9,41.7,14.1,64.1,1.7,70.1,50.7,25.6,31.4,11.4,95.64596717,0.713775874,0.214132762,0.713775874,52.60869565,3.361344538,187.3
298,116,413.9,53321,44828,13.7,0,"(51046.4, 54545.6]",50.7,50,51.4,"Calaveras County, California",2.45,55.5,15,35.3,,6.3,27.6,14.4,43,12.1,66.6,44.3,36.8,43.4,19.2,92.05441508,0.583018741,0.897982889,1.188375366,54.85049834,2.851375221,157.4
31,15,404.5,32536,6785,27.1,0,"[22640, 34218.1]",42.8,43.5,42.2,"Treutlen County, Georgia",2.38,41.6,28.4,45.9,,0,41.6,10.5,48.8,5.4,51.8,36.6,31,46.3,26.8,70.14196983,29.11860396,0,0.310559006,41.11153407,1.448321264,193.7
452,156,489.4,56008,75909,11.8,13.17366847,"(54545.6, 61494.5]",42,41.4,42.5,"Cheshire County, New Hampshire",2.34,48.4,6.1,24.1,60.9,9,33.8,19.4,62.2,6.1,75,60.3,55,28.7,12.7,95.68755724,0.730079812,1.17493131,0.392516028,48.86415562,4.687933426,162.8
1962.667684,23,453.5494221,43674,8803,17.8,0,"(42724.4, 45201]",42.5,41.5,43.7,"Clearwater County, Minnesota",2.48,57.1,20.8,37.4,35.6,6.1,38.1,11.1,53.2,7.4,57.6,41.3,34.5,45.2,25.8,86.76873857,0.251371115,0.422760512,0.045703839,55.39300057,7.495429616,184.9
67,50,259.6,35651,19324,26.7,0,"(34218.1, 37413.8]",42.1,40,45.1,"Holmes County, Florida",2.6,48.4,28,34.5,,4.5,36.9,7.3,38.1,15.4,47.8,33.9,25.4,45,26.2,89.05016552,6.987522282,0.371785078,0.621339445,53.30990041,5.39241858,191.5
194,112,403.3,33577,43738,27.1,0,"[22640, 34218.1]",35.6,34,37.1,"Mississippi County, Arkansas",2.57,45.8,19.8,40.8,,3.1,36.6,8.2,50.3,12,49.5,37,31.9,45.2,30,61.72878031,34.64470399,0.296451498,1.633826676,43.72557027,7.372578522,236.4
